id,title,url,source,published_at,content
1,Fabless chip companies eye surveillance market play via edge-AI silicon,https://economictimes.indiatimes.com/tech/technology/fabless-chip-companies-eye-surveillance-market-play-via-edge-ai-silicon/articleshow/126219208.cms,The Economic Times,2025-12-29T00:30:00Z,"Synopsis
Indian startups are designing advanced chips for video surveillance. These chips will process artificial intelligence locally on devices. This focus on edge AI is a first step towards a wider automation vision. Companies like Netrasemi, BigE... [6936 chars]"
2,2025: The Turning Point in India's Technological Self-Determination,https://www.dailyexcelsior.com/2025-the-turning-point-in-indias-technological-self-determination/,Daily Excelsior,2025-12-28T23:25:25Z,"The year 2025 marked a defining inflection point in India’s scientific and technological journey, as the nation emerged with renewed confidence and global stature across frontier domains. It signals a fundamental reorientation in India’s relationship... [9929 chars]"
3,"AI now a contest for global domination, country needs own models: Adani",https://timesofindia.indiatimes.com/city/pune/ai-now-a-contest-for-global-domination-country-needs-own-models-adani/articleshow/126219436.cms,Times of India,2025-12-28T23:13:00Z,"Pune: Industrialist Gautam Adani on Sunday said that AI (artificial intelligence) is no longer just a technology race, it is a contest for global domination, adding, ""If Bharat does not build its own AI models and its own compute infrastructure and i... [2465 chars]"
4,NHS hospitals using AI tool to help predict when A&Es busiest this winter,https://www.mirror.co.uk/news/politics/nhs-hospitals-using-ai-tool-36464093,The Mirror,2025-12-28T22:30:00Z,"An artificial intelligence tool - already used by 50 NHS organisations - works by forecasting how many people are likely to need emergency care and treatment on any given day
Artificial intelligence is being used by NHS hospitals to help predict when... [2203 chars]"
5,NITK uses machine learning to predict landslides in Western Ghats,https://www.thehindu.com/news/national/karnataka/nitk-uses-machine-learning-to-predict-landslides-in-western-ghats/article70446091.ece,The Hindu,2025-12-28T14:26:39Z,"Researchers at the National Institute of Technology Karnataka (NITK), Surathkal, have developed an integrated landslide early warning framework designed specifically for the Western Ghats, one of India’s most landslide-prone regions.
The system, call... [3576 chars]"
6,Indian-origin techie who helped Apple fight terrorism quits to build startup,https://indianexpress.com/article/trending/trending-globally/indian-origin-techie-who-helped-apple-fight-terrorism-quits-to-build-startup-10442954/,The Indian Express,2025-12-28T06:45:13Z,"During her time at Apple, Ramadurgam noticed a gap between the company’s advanced technology and the way compliance processes were handled. Despite Apple’s sophistication, many systems were slow, heavily manual, and required large teams to review ext... [1213 chars]"
7,How you’ll be using AI in 2026: note-taking rings and robotaxis,https://www.thetimes.com/business/technology/article/ai-use-2026-new-technology-robots-28mgrzqgl,The Sunday Times,2025-12-27T12:20:49Z,"And it will be a very big year for hardware. The biggest, perhaps, since 2007, when Steve Jobs strolled on stage and unveiled the iPhone.
Companies such as Sandbar are scrambling to build a new generation of devices that take advantage of the unique ... [12332 chars]"
8,Which stocks could drive the $1 trillion semiconductor milestone? Bank of America’s top bets,https://economictimes.indiatimes.com/news/international/us/which-stocks-could-drive-the-1-trillion-semiconductor-milestone-bank-of-americas-1-trillion-semiconductor-forecast-is-here/articleshow/126162525.cms,The Economic Times,2025-12-24T16:18:00Z,"Synopsis
The global semiconductor industry is heading into what analysts believe could be its most powerful growth phase yet. Artificial intelligence is no longer a niche driver. It is now the core engine reshaping chip demand across data centers, cl... [7771 chars]"
9,Alphabet vs. Amazon: Which stock will outperform in 2026?,https://www.fool.com.au/2025/12/23/alphabet-vs-amazon-which-stock-will-outperform-in-2026-usfeed/,The Motley Fool Australia,2025-12-22T23:30:00Z,"This article was originally published on Fool.com. All figures quoted in US dollars unless otherwise stated.
Two of the big three cloud computing companies are Alphabet (NASDAQ: GOOGL) (NASDAQ: GOOG) and Amazon (NASDAQ: AMZN). While both Google Cloud... [3642 chars]"
10,Sam Altman Says OpenAI Is Hiring A Head Of Preparedness As AI Risks Grow,https://www.benzinga.com/markets/tech/25/12/49601452/sam-altman-says-openai-is-hiring-a-head-of-preparedness-as-ai-risks-grow,Benzinga,2025-12-28T08:24:17Z,"OpenAI CEO Sam Altman said the company is seeking a Head of Preparedness, a role focused on addressing the growing challenges posed by advanced AI models.
Altman Highlights Urgent Need For AI Safety Role
Altman announced the job opening on X, emphasi... [1723 chars]"
11,AI prompts increased human interaction at this cyber security company,https://triblive.com/local/valley-news-dispatch/ai-prompts-increased-human-interaction-at-this-cyber-security-company/,Pittsburgh Tribune-Review,2025-12-28T05:00:00Z,"In an age of artificial intelligence, Dennis Underwood is working it “old school.”
He is prioritizing face time.
Underwood is CEO of Cyber Crucible, a cybersecurity software company in Fox Chapel that focuses on preventing data theft, identity theft ... [1869 chars]"
12,"One Month On, Coupang’s Data Breach Turns Political: Korea Tests the Boundaries of Tech Governance",https://www.europesays.com/2661107/,EUROPE SAYS,2025-12-28T03:13:24Z,"A month after South Korea’s largest-ever data breach, Coupang’s crisis is no longer just a cybersecurity story. Everything may have started as a corporate governance failure. But now, the case has further escalated into a high-stakes confrontation be... [6895 chars]"
13,Sam Altman says AI abuse risks need ‘more nuanced understanding’ as OpenAI seeks to hire Head of Preparedness,https://www.livemint.com/technology/tech-news/sam-altman-says-ai-abuse-risks-need-more-nuanced-understanding-as-openai-seeks-to-hire-head-of-preparedness-11766884052137.html,Livemint,2025-12-28T01:26:36Z,"OpenAI has announced plans to hire a Head of Preparedness, signalling a sharper focus on managing the growing risks associated with increasingly capable artificial intelligence systems.
The role was revealed by OpenAI Chief Executive Sam Altman in a ... [3415 chars]"
14,"AI, automation to reshape cybercrime in 2026",https://www.manilatimes.net/2025/12/28/business/sunday-business-it/ai-automation-to-reshape-cybercrime-in-2026/2249955,The Manila Times,2025-12-27T16:06:00Z,"CYBERCRIME is expected to enter a new phase in 2026, marked by full industrialization driven by artificial intelligence (AI), automation and autonomous attack systems, according to new forecasts released by global cybersecurity firms.
In its annual s... [6692 chars]"
15,WonderChain Announces Expansion Plans and 3rd Strategic Airdrop as Daily-Life-Based Digital Ecosystem Grows,https://www.benzinga.com/pressreleases/25/12/49601821/wonderchain-announces-expansion-plans-and-3rd-strategic-airdrop-as-daily-life-based-digital-ecosyst,Benzinga,2025-12-28T11:51:31Z,"Ras Al Khaimah, United Arab Emirates, December 28th, 2025, Chainwire
WonderChain, a project that integrates blockchain with real-world lifestyle activities, has announced the upcoming launch of its 3rd Strategic Airdrop scheduled for January 2026. Wi... [3313 chars]"
16,WonderChain Announces Expansion Plans and 3rd Strategic Airdrop as Daily-Life-Based Digital Ecosystem Grows,https://markets.businessinsider.com/news/currencies/wonderchain-announces-expansion-plans-and-3rd-strategic-airdrop-as-daily-life-based-digital-ecosystem-grows-1035672485,Markets Insider,2025-12-28T11:51:31Z,"Ras Al Khaimah, United Arab Emirates, December 28th, 2025, Chainwire
WonderChain, a project that integrates blockchain with real-world lifestyle activities, has announced the upcoming launch of its 3rd Strategic Airdrop scheduled for January 2026. Wi... [3313 chars]"
17,"Tesla's former AI Director Andrej Karpathy sends 'Open Letter' to software engineers: I never felt this much behind as a programmer, profession is…",https://timesofindia.indiatimes.com/technology/tech-news/teslas-former-ai-director-andrej-karpathy-sends-open-letter-to-software-engineers-i-never-felt-this-much-behind-as-a-programmer-profession-is/articleshow/126202051.cms,Times of India,2025-12-27T08:36:00Z,"Tesla's ex-AI chief, Andrej Karpathy, warns software engineers face a seismic shift as AI reshapes coding. He admits feeling behind, highlighting a new 'programmable layer' of AI tools. While some studies show mixed productivity gains, industry leade... [4003 chars]"
18,AI hurts hiring for software engineers,https://www.arkansasonline.com/news/2025/dec/27/ai-hurts-hiring-for-software-engineers/,Arkansas Online,2025-12-27T08:03:00Z,"A Stanford software engineering degree used to be a golden ticket. Artificial intelligence has devalued it to bronze, recent graduates say.
The elite students are shocked by the lack of job offers as they finish studies at what is often ranked as the... [5831 chars]"
19,"Software engineers will be jobless: Viral social media post sparks debate amid AI concerns, ‘May we go out in glory’",https://www.livemint.com/news/trends/software-engineers-will-be-jobless-viral-social-media-post-sparks-debate-amid-ai-concerns-may-we-go-out-in-glory-11766812092752.html,Livemint,2025-12-27T05:23:53Z,"A social media user has sparked debate by claiming that software engineers will soon be jobless. The post comes amid growing concerns about artificial intelligence (AI) automating routine coding tasks.
“Software engineer as a career is coming to a cl... [3378 chars]"
20,Coforge to acquire AI firm Encora for USD 2.35 bn in all-stock deal,https://www.devdiscourse.com/article/technology/3742298-coforge-to-acquire-ai-firm-encora-for-usd-235-bn-in-all-stock-deal,Devdiscourse,2025-12-26T13:00:41Z,"IT services firm Coforge on Friday said it will acquire 100 per cent stake in Silicon Valley-based AI firm Encora for an enterprise value of USD 2.35 billion (about Rs 21,133 crore).
The acquisition will be funded through an all-stock transaction. Co... [1996 chars]"
21,ISRO invites student community to take part in robotic challenge,https://www.thehindu.com/news/national/karnataka/isro-invites-student-community-to-take-part-in-robotic-challenge/article70446590.ece,The Hindu,2025-12-28T16:18:25Z,"Here is an opportunity for the student community to contribute to future Indian space programmes including ISRO’s future goal to explore the Martian surface.
ISRO has announced the ISRO Robotics Challenge - URSC (IRoC-U 2026) which challenges the stu... [1999 chars]"
22,"Will AI wipe out the working class, and recast our view of ourselves?",https://www.manilatimes.net/2025/12/29/opinion/columns/will-ai-wipe-out-the-working-class-and-recast-our-view-of-ourselves/2250142,The Manila Times,2025-12-28T16:11:00Z,"IN the United States, a group of super-billionaires, led by Elon Musk, the world’s richest human being, reportedly worth at least $700 billion, is said to be investing heavily in the rapid advancement of artificial intelligence (AI) and robotics, and... [4943 chars]"
23,"'From Classrooms To Climate Labs': Nearly 15,000 Kerala School Students Get Hands-On Training In Weather Science At Little KITEs Camps",https://www.freepressjournal.in/education/from-classrooms-to-climate-labs-nearly-15000-kerala-school-students-get-hands-on-training-in-weather-science-at-little-kites-camps,Free Press Journal,2025-12-28T02:11:17Z,"Thiruvananthapuram: Nearly 15,000 students across Kerala are gaining hands-on exposure to modern weather science and forecasting techniques as the Little KITEs Sub-District Camps got underway across the state.
A total of 14,804 students, selected fro... [2189 chars]"
24,Unitree Robotics Productions presents: Man Getting Hit By Robot.,https://www.theverge.com/tech/850544/unitree-robotics-productions-presents-man-getting-hit-by-robot,The Verge,2025-12-27T20:12:42Z,"The robot. His groin. It works on so many levels. Roll it again.
Follow topics and authors from this story to see more like this in your personalized homepage feed and to receive email updates.
Comments
Loading comments
Getting the conversation ready... [250 chars]"
25,IoT SIM Card: The Backbone of Smart and Connected Systems,https://techbullion.com/iot-sim-card-the-backbone-of-smart-and-connected-systems/,TechBullion,2025-12-26T14:35:39Z,"Share
Share
Share
Share
Email
The rapid evolution of digital technology has led to a world where machines communicate seamlessly without human intervention. From smart cities and healthcare devices to industrial automation and logistics, the Internet... [6875 chars]"
26,"Sanders warns AI running the world not science-fiction, calls for slow down",https://www.foxnews.com/media/sanders-says-science-fiction-fear-ai-running-world-not-quite-so-outrageous,Fox News,2025-12-28T22:00:51Z,"NEWYou can now listen to Fox News articles!
Sen. Bernie Sanders, I-Vt., said the ""science-fiction fear"" of Artificial Intelligence (AI) running the world was not an outrageous concept during an interview on Sunday, as he argued there hasn't been enou... [2699 chars]"
27,BSc Data Science vs BTech in Artificial Intelligence: Which tech degree should you choose today?,https://timesofindia.indiatimes.com/education/news/bsc-data-science-vs-btech-in-artificial-intelligence-which-tech-degree-should-you-choose-today/articleshow/126216649.cms,Times of India,2025-12-28T14:52:00Z,"BSc Data Science vs BTech in Artificial Intelligence
With technology growing faster than ever, many Class 12 students dream of working in IT, AI, or data-driven fields. Data is now called the “new oil,” and artificial intelligence is changing the way... [4812 chars]"
